c_bin,ce_bin,c_mean,ce_mean,delta_c_mean,delta_ce_mean,delta_ei_mean,ei_reduction_mean,n,ei_regime
"(0.411, 0.428]","(-0.094, -0.0605]",0.4184110993931804,-0.07517421475800073,0.008825319560803386,0.03491817103771097,-3.1410253847781783e-07,3.1410253847781783e-07,76,Q1 low EI
"(0.411, 0.428]","(-0.0605, -0.0211]",0.4195356602339797,-0.04156790670998003,0.005737787811153083,0.029263782213216905,-7.089484681799397e-07,7.089484681799397e-07,148,Q1 low EI
"(0.411, 0.428]","(-0.0211, 0.0317]",0.41500436483113096,0.014639804761606787,-0.0005128282659221116,-0.010566278035479578,1.969386485943163e-06,-1.969386485943163e-06,2108,Q1 low EI
"(0.411, 0.428]","(0.0317, 1.0]",0.4225121415698744,0.05075301991007743,-0.010890129468187596,-0.05641720158407427,2.4947488899909343e-06,-2.4947488899909343e-06,1610,Q1 low EI
"(0.428, 0.812]","(-0.207, -0.168]",0.5107928416765903,-0.18496918433205384,-0.037711323033356905,0.058285361707793415,-7.237140817166535e-07,7.237140817166535e-07,50,Q1 low EI
"(0.428, 0.812]","(-0.168, -0.13]",0.4971503590550468,-0.14804510304685012,-0.008742003739158104,0.0279998708340181,-2.6789541937586374e-07,2.6789541937586374e-07,99,Q1 low EI
"(0.428, 0.812]","(-0.13, -0.094]",0.518336614382957,-0.11022339217315456,-0.02979127018512007,0.008041641003335612,4.778653059075071e-06,-4.778653059075071e-06,108,Q1 low EI
"(0.428, 0.812]","(-0.094, -0.0605]",0.5055386075120596,-0.07600582152915689,-0.019154293721998037,0.021462821350655588,2.907841676260187e-06,-2.907841676260187e-06,254,Q1 low EI
"(0.428, 0.812]","(-0.0605, -0.0211]",0.49374747011876,-0.03977564770254433,-0.006933378103154254,0.028820998181456725,6.685660296132385e-07,-6.685660296132385e-07,550,Q1 low EI
"(0.428, 0.812]","(-0.0211, 0.0317]",0.49576725862878535,0.0008238245892505223,-0.006894093046809736,0.02119021305367778,1.4062326254621152e-06,-1.4062326254621152e-06,532,Q1 low EI
"(0.428, 0.812]","(0.0317, 1.0]",0.47620487205475576,0.20977439628398267,-0.04619560503972336,-0.210442082158086,0.00029217964750703393,-0.00029217964750703393,2383,Q1 low EI
"(0.298, 0.359]","(-0.514, -0.238]",0.3514327811473833,-0.27415627608407295,0.009233255322871179,0.042173390383241485,1.6225706485365572e-05,-1.6225706485365572e-05,3986,Q2
"(0.359, 0.367]","(-0.238, -0.202]",0.36334019030138526,-0.21972284041499845,0.008043793200727425,0.03609517041413788,2.9693679775748534e-06,-2.9693679775748534e-06,3970,Q2
"(0.367, 0.375]","(-0.202, -0.166]",0.3712483773650991,-0.18358760832999327,0.007639108630052835,0.03212317389170866,7.754895791546478e-08,-7.754895791546478e-08,3872,Q2
"(0.367, 0.375]","(-0.166, -0.128]",0.37527528975752106,-0.16515980171060518,0.00907683958021583,0.02665588952234519,-2.9994118405961712e-06,2.9994118405961712e-06,119,Q2
"(0.375, 0.384]","(-0.166, -0.128]",0.3793777043622471,-0.1464283522086147,0.007579815415479649,0.02257777631553515,-1.364388205542977e-06,1.364388205542977e-06,3674,Q2
"(0.375, 0.384]","(-0.128, -0.0879]",0.38388446812550014,-0.12579165214724014,0.007305832634559467,0.028569286567239525,1.6320881872419524e-05,-1.6320881872419524e-05,302,Q2
"(0.384, 0.394]","(-0.166, -0.128]",0.39006390588489814,-0.14060382443901567,0.010637845136791143,0.04517268473701098,1.5671507238305976e-06,-1.5671507238305976e-06,25,Q2
"(0.384, 0.394]","(-0.128, -0.0879]",0.3882010489864516,-0.10619009410908141,0.0060543832621767464,0.015700312888607085,5.187083686967436e-06,-5.187083686967436e-06,3295,Q2
"(0.384, 0.394]","(-0.0879, -0.0452]",0.39298572141867155,-0.08420634959343982,0.00590881952035306,0.011708131681950463,3.935539023620743e-06,-3.935539023620743e-06,660,Q2
"(0.394, 0.406]","(-0.166, -0.128]",0.39955343265144777,-0.1431556460226046,0.03315832159632641,0.14446346553918213,-2.943515847746815e-06,2.943515847746815e-06,28,Q2
"(0.394, 0.406]","(-0.128, -0.0879]",0.4002517539095817,-0.10290252491853316,0.003909639164352543,0.01693988650375372,-4.8864253852217486e-06,4.8864253852217486e-06,87,Q2
"(0.394, 0.406]","(-0.0879, -0.0452]",0.39770682276019925,-0.06391694548107228,0.0054127611199163,0.004237911454080462,3.3597265596480154e-06,-3.3597265596480154e-06,2565,Q2
"(0.394, 0.406]","(-0.0452, 0.0094]",0.4038766277172876,-0.03447170690822259,0.003306313733742046,-0.0042858913342255734,8.538654715184794e-06,-8.538654715184794e-06,1305,Q2
"(0.406, 0.434]","(-0.166, -0.128]",0.42029879383684365,-0.1420948572838158,0.012265723184288587,0.04349875013154742,-9.753598597317858e-06,9.753598597317858e-06,33,Q2
"(0.406, 0.434]","(-0.128, -0.0879]",0.4171100924849412,-0.1055217790419817,0.009823927815297308,0.03601913846170451,2.983246706457781e-06,-2.983246706457781e-06,122,Q2
"(0.406, 0.434]","(-0.0879, -0.0452]",0.41712524397507544,-0.06347944033682017,0.0037743973662926283,0.013815893979346378,-5.934779928316325e-07,5.934779928316325e-07,183,Q2
"(0.406, 0.434]","(-0.0452, 0.0094]",0.41097245287802797,-0.010420997831154091,0.0014860638600753164,-0.010124215042231844,5.2928509168572405e-06,-5.2928509168572405e-06,1827,Q2
"(0.406, 0.434]","(0.0094, 1.0]",0.42063441442698485,0.041013994888852975,-0.00828373924116164,-0.04954232804645034,1.2111568280926986e-05,-1.2111568280926986e-05,1811,Q2
"(0.434, 0.796]","(-0.202, -0.166]",0.49632903786827565,-0.18170413504251173,0.0005849163556434932,0.11777366110401674,0.00014496889456780686,-0.00014496889456780686,54,Q2
"(0.434, 0.796]","(-0.166, -0.128]",0.5076844266497333,-0.14450044035035026,-0.025953685101070937,0.046313063744112246,7.840492782329108e-07,-7.840492782329108e-07,115,Q2
"(0.434, 0.796]","(-0.128, -0.0879]",0.5079169785484571,-0.10521188569273437,-0.026811744394033204,0.012706401033711037,-1.5623056178682511e-06,1.5623056178682511e-06,187,Q2
"(0.434, 0.796]","(-0.0879, -0.0452]",0.5128557542758461,-0.0636851878232283,-0.013303030973300035,0.01579762955894181,3.0991151672521303e-07,-3.0991151672521303e-07,585,Q2
"(0.434, 0.796]","(-0.0452, 0.0094]",0.5103936204903635,-0.018797112807963017,-0.01323862503620639,0.016575204056665377,-2.8552590454663336e-06,2.8552590454663336e-06,861,Q2
